latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.6861,105.9552,312.3,1.3,1.1,2023/01/10,629,Aqua,MODIS,67,61.03,281.6,10.8,D,0
-2.8622,106.4522,314.5,1.2,1.1,2023/01/10,629,Aqua,MODIS,70,61.03,286.1,10.2,D,0
-2.8695,106.2399,315.4,1.2,1.1,2023/01/10,629,Aqua,MODIS,71,61.03,288.2,11.4,D,0
-2.7978,106.3934,308.9,1.2,1.1,2023/01/10,629,Aqua,MODIS,54,61.03,284.1,7.1,D,0
-2.7361,106.5287,308.5,1.2,1.1,2023/01/10,629,Aqua,MODIS,33,61.03,285.8,6.2,D,0
-2.7127,105.9818,322.1,1.3,1.1,2023/01/10,629,Aqua,MODIS,72,61.03,276.6,22.7,D,0
-2.5387,106.2081,317.9,1.2,1.1,2023/01/10,629,Aqua,MODIS,71,61.03,284.3,15.6,D,0
-2.5402,106.1973,318.1,1.2,1.1,2023/01/10,629,Aqua,MODIS,75,61.03,286,15.9,D,0
-3.0609,106.5656,326.9,2,1.4,2023/01/12,616,Aqua,MODIS,73,61.03,284.8,58.3,D,0
-3.0634,106.5479,321.3,2,1.4,2023/01/12,616,Aqua,MODIS,75,61.03,282.5,42.1,D,0
-3.0585,106.5602,330,2,1.4,2023/01/12,616,Aqua,MODIS,83,61.03,285.9,66.4,D,0
-1.7842,105.8822,310.2,2.4,1.5,2023/02/18,615,Aqua,MODIS,30,61.03,290.3,18.6,D,0
-2.4304,106.1698,314.4,1.2,1.1,2023/02/19,313,Terra,MODIS,61,61.03,293.9,10.3,D,0
-1.9361,105.2118,318,1,1,2023/03/07,648,Aqua,MODIS,49,61.03,297,7.5,D,0
-2.7645,106.4639,313.3,1.1,1,2023/03/10,307,Terra,MODIS,63,61.03,294.1,6.8,D,0
-2.4319,106.218,324,1.1,1,2023/03/16,635,Aqua,MODIS,75,61.03,288.3,20.7,D,0
-2.729,106.4502,332.6,1.1,1,2023/03/16,635,Aqua,MODIS,86,61.03,289.5,30.5,D,0
-2.627,106.6202,319.3,1.7,1.3,2023/03/18,622,Aqua,MODIS,74,61.03,292.1,21.8,D,0
-2.46,106.1788,314.5,1.8,1.3,2023/03/18,622,Aqua,MODIS,70,61.03,291.2,16.9,D,0
-2.6374,106.6283,315.8,1.7,1.3,2023/03/18,622,Aqua,MODIS,25,61.03,293.1,13.4,D,0
-2.5068,106.3372,304.5,2,1.4,2023/03/20,325,Terra,MODIS,38,61.03,277.4,10.2,D,0
-1.6503,105.3995,315.3,1,1,2023/03/22,308,Terra,MODIS,63,61.03,296.7,5.6,D,0
-1.655,105.5797,353.4,1.1,1,2023/03/23,637,Aqua,MODIS,97,61.03,294.6,71.3,D,0
-1.6456,105.5784,328.4,1.1,1,2023/03/23,637,Aqua,MODIS,81,61.03,295.2,20.9,D,0
-1.647,105.5686,330.9,1.1,1,2023/03/23,637,Aqua,MODIS,83,61.03,295.7,25.2,D,0
-2.3254,105.8625,317.7,1.1,1.1,2023/04/11,652,Aqua,MODIS,64,61.03,297.8,8.3,D,0
